idx,total_return_rl,total_cost_rl,total_cost_numerical_adjoint
0,-40.69723892211914,40.69723892211914,40.43243408203125
1,-50.60883331298828,50.60883331298828,50.255638122558594
2,-38.21882629394531,38.21882629394531,37.97164535522461
3,-45.491214752197266,45.491214752197266,45.19027328491211
4,-30.07280731201172,30.07280731201172,29.82788848876953
5,-44.0313720703125,44.0313720703125,43.753292083740234
6,-35.10874557495117,35.10874557495117,34.85493087768555
7,-34.06589889526367,34.06589889526367,33.80830764770508
mean,-39.786865234375,39.786865234375,39.511802673339844
